vendedor_1,vendedor_2,producto,fecha
6,8,CELULAA01,21/08/2025
7,7,AIRE2200,06/10/2016
7,7,SMARTWAT,07/05/2025
5,7,AIRE2200,20/06/2023
5,8,TV42,18/09/2012
1,8,TV42,11/09/2022
7,4,TV42,03/12/2010
4,4,DRONE99,15/10/2017
7,6,SMARTWAT,13/12/2021
5,9,CELULAA01,11/08/2019
5,7,TABLET10,02/11/2024
3,8,DRONE99,24/04/2018
5,5,SMARTWAT,19/07/2011
5,6,SMARTWAT,07/05/2021
4,9,CAMARAHD,10/07/2024
3,2,IMPRES33,27/08/2017
3,7,CAMARAHD,14/04/2010
5,5,TV42,04/06/2019
10,6,AIRE2200,29/12/2020
2,10,DRONE99,14/05/2012
5,2,CAMARAHD,22/09/2019
3,2,AIRE2200,15/02/2018
4,9,IMPRES33,03/04/2024
6,8,SMARTWAT,24/04/2020
3,4,SMARTWAT,12/11/2025
4,9,TV42,07/06/2013
4,8,LAPTOP15,08/10/2019
5,8,CONSOLA9,13/12/2013
8,8,AIRE2200,14/09/2021
5,7,CELULAA01,03/08/2024
6,7,DRONE99,22/01/2016
3,6,TABLET10,25/10/2023
4,5,SMARTWAT,26/01/2022
5,6,AIRE2200,04/11/2020
6,4,CAMARAHD,05/06/2020
7,9,SMARTWAT,09/10/2019
5,7,DRONE99,16/04/2023
2,3,CELULAA01,08/01/2016
6,10,CELULAA01,25/03/2017
4,9,LAPTOP15,05/07/2015
2,7,CAMARAHD,11/12/2011
4,8,LAPTOP15,03/04/2016
2,6,TV42,10/02/2020
3,12,TV42,21/06/2015
4,5,IMPRES33,03/06/2020
7,12,TV42,13/10/2022
5,3,SMARTWAT,09/09/2023
5,7,AIRE2200,26/12/2024
7,4,CAMARAHD,02/07/2018
9,8,CONSOLA9,18/07/2017
7,6,IMPRES33,24/08/2010
6,7,CELULAA01,01/02/2021
6,6,CAMARAHD,16/04/2017
9,4,SMARTWAT,29/01/2014
2,4,LAPTOP15,08/12/2020
3,5,CAMARAHD,04/10/2014
9,6,CAMARAHD,16/12/2017
3,9,AIRE2200,18/10/2015
8,7,SMARTWAT,20/08/2017
5,7,IMPRES33,09/04/2016
4,5,SMARTWAT,16/05/2023
9,8,LAPTOP15,23/09/2025
2,4,TABLET10,13/03/2016
5,4,TV42,20/06/2022
10,6,LAPTOP15,25/03/2010
5,9,IMPRES33,03/08/2021
4,4,SMARTWAT,15/04/2014
7,5,DRONE99,03/12/2011
3,4,DRONE99,01/06/2015
6,4,LAPTOP15,12/02/2019
3,7,AIRE2200,16/12/2020
3,6,TV42,15/06/2022
4,5,IMPRES33,23/05/2015
1,7,AIRE2200,28/06/2025
2,11,TV42,05/09/2020
4,8,SMARTWAT,27/06/2024
5,6,IMPRES33,19/12/2025
8,4,TV42,03/01/2021
7,8,TV42,20/01/2020
7,5,TV42,22/05/2010
2,10,SMARTWAT,02/02/2012
6,9,CONSOLA9,07/08/2016
8,11,CELULAA01,21/12/2014
6,4,IMPRES33,26/01/2019
4,10,IMPRES33,08/07/2025
4,10,SMARTWAT,17/06/2015
4,3,CELULAA01,13/11/2016
1,8,CONSOLA9,22/11/2024
6,6,DRONE99,17/01/2023
8,11,CAMARAHD,12/04/2018
7,9,TABLET10,12/08/2020
7,8,DRONE99,01/06/2022
6,4,CELULAA01,28/11/2021
6,6,TV42,17/09/2017
4,5,TABLET10,18/07/2019
3,8,IMPRES33,06/05/2022
6,8,SMARTWAT,02/06/2017
3,8,TV42,22/11/2017
10,8,TV42,06/10/2025
5,4,TV42,06/03/2020
6,15,CAMARAHD,29/01/2016
6,2,CONSOLA9,16/11/2016
4,9,CONSOLA9,22/08/2015
6,7,IMPRES33,04/03/2015
5,2,CELULAA01,15/09/2012
3,10,CELULAA01,27/04/2014
2,3,SMARTWAT,28/01/2017
3,6,CAMARAHD,06/09/2012
2,5,IMPRES33,07/01/2022
8,12,CELULAA01,24/06/2025
7,6,SMARTWAT,25/02/2014
4,11,SMARTWAT,19/04/2014
3,6,IMPRES33,08/11/2014
3,3,CAMARAHD,10/11/2020
6,5,IMPRES33,15/03/2016
5,8,CAMARAHD,23/03/2023
1,6,LAPTOP15,07/10/2021
8,6,CAMARAHD,21/05/2023
9,5,AIRE2200,07/05/2016
4,6,CAMARAHD,03/04/2012
7,10,IMPRES33,10/05/2014
3,6,CAMARAHD,23/08/2016
7,13,AIRE2200,07/02/2015
5,9,AIRE2200,04/02/2018
6,13,CELULAA01,09/01/2014
8,7,AIRE2200,12/10/2016
2,3,AIRE2200,26/04/2010
4,7,CONSOLA9,18/11/2025
9,11,CELULAA01,24/12/2021
4,8,SMARTWAT,02/11/2012
4,7,DRONE99,26/02/2016
3,9,SMARTWAT,08/01/2011
4,12,LAPTOP15,23/03/2011
4,7,SMARTWAT,31/05/2022
6,2,TV42,21/07/2016
7,15,CELULAA01,23/08/2025
3,6,CONSOLA9,31/10/2012
6,10,TABLET10,22/04/2024
8,3,CAMARAHD,04/01/2021
7,8,IMPRES33,20/04/2012
3,5,IMPRES33,11/04/2010
4,5,CAMARAHD,16/11/2022
6,6,IMPRES33,18/05/2016
8,9,CAMARAHD,12/07/2020
3,5,SMARTWAT,26/09/2020
4,3,CAMARAHD,18/11/2019
3,6,CELULAA01,23/08/2017
8,6,TV42,19/02/2014
1,8,TABLET10,25/02/2011
3,12,TV42,31/08/2015
7,10,CONSOLA9,18/09/2020
5,11,TV42,23/07/2012
9,6,AIRE2200,20/06/2011
5,8,DRONE99,27/12/2018
4,4,TV42,11/01/2021
5,9,AIRE2200,30/08/2011
7,7,DRONE99,10/12/2022
3,3,CELULAA01,13/02/2024
6,6,CAMARAHD,25/05/2025
7,6,SMARTWAT,16/03/2011
4,9,CONSOLA9,27/05/2013
4,5,DRONE99,07/05/2013
4,16,CELULAA01,16/08/2022
3,7,TV42,25/10/2016
4,11,CONSOLA9,29/11/2011
2,6,DRONE99,27/07/2015
7,8,TABLET10,28/08/2012
6,10,LAPTOP15,08/07/2022
7,4,TV42,03/05/2019
5,7,CAMARAHD,07/08/2023
4,7,TV42,16/05/2023
5,5,CAMARAHD,15/11/2023
4,4,DRONE99,23/01/2015
7,10,CELULAA01,20/09/2021
5,7,CAMARAHD,14/07/2018
6,8,CAMARAHD,08/02/2020
5,10,AIRE2200,06/12/2019
2,7,CELULAA01,01/09/2016
4,9,CAMARAHD,15/03/2023
4,4,TV42,14/08/2019
6,5,TABLET10,06/11/2016
11,9,DRONE99,03/10/2022
6,9,CAMARAHD,06/12/2023
8,6,TABLET10,09/05/2011
5,6,CAMARAHD,04/09/2023
3,6,TV42,23/03/2012
5,4,CELULAA01,30/08/2014
1,9,SMARTWAT,12/01/2024
8,4,TV42,25/09/2014
6,10,LAPTOP15,08/12/2015
4,6,CELULAA01,24/10/2024
7,3,TABLET10,28/10/2011
1,9,CAMARAHD,10/07/2013
7,2,IMPRES33,19/05/2015
3,7,TV42,24/11/2013
9,6,TABLET10,19/05/2022
4,7,TABLET10,07/09/2011
2,3,CAMARAHD,06/07/2013
4,11,TV42,22/01/2010
6,4,IMPRES33,01/03/2019
2,10,TV42,08/02/2020
1,5,CONSOLA9,18/06/2025
7,4,TV42,27/04/2023
7,3,CELULAA01,16/07/2020
6,4,TV42,13/07/2016
8,7,TABLET10,25/09/2010
7,5,SMARTWAT,12/03/2015
5,6,IMPRES33,18/06/2016
6,4,TABLET10,09/11/2025
6,5,CAMARAHD,05/05/2016
7,10,LAPTOP15,07/10/2025
6,2,SMARTWAT,08/03/2020
3,8,DRONE99,07/08/2011
3,2,CELULAA01,02/06/2025
1,4,TV42,28/03/2015
5,11,LAPTOP15,08/12/2015
3,12,LAPTOP15,08/01/2024
9,3,CAMARAHD,25/03/2023
8,4,SMARTWAT,30/10/2024
4,9,AIRE2200,09/06/2014
2,9,CONSOLA9,15/07/2019
3,5,TV42,29/07/2012
2,7,AIRE2200,20/03/2022
4,6,DRONE99,16/01/2015
4,7,CONSOLA9,11/07/2024
5,11,LAPTOP15,05/05/2013
8,3,DRONE99,17/12/2015
6,7,CAMARAHD,11/03/2013
3,7,TV42,08/08/2011
5,5,CONSOLA9,04/05/2011
6,15,IMPRES33,21/09/2013
3,8,DRONE99,24/11/2016
8,6,AIRE2200,07/05/2023
8,9,TABLET10,07/10/2022
5,5,TV42,22/06/2016
4,7,LAPTOP15,07/11/2019
2,7,AIRE2200,15/10/2012
6,8,AIRE2200,06/07/2020
5,4,DRONE99,12/06/2025
6,9,AIRE2200,27/10/2016
7,3,AIRE2200,11/09/2025
3,7,CELULAA01,11/01/2019
9,6,SMARTWAT,09/02/2016
2,8,CAMARAHD,23/03/2021
0,9,AIRE2200,10/02/2022
6,9,LAPTOP15,28/01/2021
4,11,TABLET10,27/10/2019
6,6,CELULAA01,21/10/2011
4,2,SMARTWAT,01/06/2023
5,5,IMPRES33,23/11/2010
2,16,CELULAA01,10/09/2019
5,8,SMARTWAT,25/03/2017
4,7,IMPRES33,17/07/2023
3,4,AIRE2200,14/08/2015
5,7,DRONE99,31/07/2010
3,11,DRONE99,19/01/2012
3,8,SMARTWAT,19/02/2015
4,3,TV42,14/02/2025
8,4,AIRE2200,26/11/2022
5,14,CONSOLA9,03/03/2023
4,8,IMPRES33,19/06/2010
4,6,IMPRES33,29/01/2025
4,6,CAMARAHD,17/01/2016
4,4,DRONE99,04/12/2022
7,6,TABLET10,26/11/2010
8,6,IMPRES33,06/12/2013
7,8,LAPTOP15,21/07/2020
3,3,LAPTOP15,22/08/2021
6,3,SMARTWAT,12/08/2024
6,5,TABLET10,02/12/2019
4,10,TABLET10,28/03/2016
6,5,LAPTOP15,26/01/2014
9,6,IMPRES33,17/02/2023
6,11,LAPTOP15,11/10/2019
4,5,IMPRES33,28/03/2024
6,6,AIRE2200,11/01/2021
7,10,AIRE2200,18/01/2012
4,11,SMARTWAT,17/07/2020
3,8,AIRE2200,21/10/2017
4,14,CAMARAHD,28/02/2019
5,11,CELULAA01,23/06/2017
3,7,CELULAA01,15/03/2017
5,5,CELULAA01,11/01/2025
3,8,TV42,06/05/2012
5,6,CELULAA01,10/08/2013
5,5,TABLET10,25/05/2017
5,7,CAMARAHD,27/03/2019
6,2,TABLET10,23/07/2025
6,8,CELULAA01,10/02/2021
6,3,DRONE99,19/06/2016
5,4,AIRE2200,10/11/2024
7,8,CELULAA01,25/12/2018
3,5,TABLET10,04/05/2022
5,2,TABLET10,28/10/2010
7,3,CELULAA01,14/03/2020
2,12,IMPRES33,23/12/2011
8,3,TABLET10,20/01/2017
4,8,DRONE99,30/08/2015
2,5,IMPRES33,02/04/2017
5,4,SMARTWAT,07/08/2012
5,5,CELULAA01,25/01/2019
4,9,TV42,17/07/2021
6,13,IMPRES33,10/01/2010
8,6,TABLET10,01/10/2024
4,7,CELULAA01,03/03/2022
3,9,SMARTWAT,12/05/2020
6,8,CONSOLA9,09/04/2019
4,8,IMPRES33,21/03/2011
2,8,SMARTWAT,17/03/2014
3,7,IMPRES33,18/08/2021
1,4,SMARTWAT,11/02/2018
9,9,DRONE99,19/12/2023
5,6,DRONE99,07/03/2021
3,13,DRONE99,11/01/2024
4,7,LAPTOP15,01/12/2019
3,8,LAPTOP15,27/02/2011
4,8,LAPTOP15,26/07/2014
6,8,SMARTWAT,28/12/2015
4,14,DRONE99,27/04/2022
2,11,CONSOLA9,09/12/2012
6,2,TV42,17/06/2016
3,8,DRONE99,30/10/2019
6,10,DRONE99,30/08/2025
2,3,AIRE2200,14/11/2020
8,9,CELULAA01,21/09/2012
3,3,TV42,25/08/2010
6,9,TABLET10,18/02/2024
4,3,SMARTWAT,28/08/2023
5,4,SMARTWAT,15/05/2015
6,3,AIRE2200,02/12/2025
1,8,CAMARAHD,21/07/2013
5,10,IMPRES33,20/12/2016
7,9,SMARTWAT,10/05/2022
6,7,LAPTOP15,23/04/2010
6,6,LAPTOP15,22/05/2022
7,9,LAPTOP15,25/02/2019
4,6,LAPTOP15,03/02/2012
3,6,AIRE2200,15/01/2015
8,12,CONSOLA9,18/07/2012
4,2,AIRE2200,08/05/2020
5,12,DRONE99,20/08/2012
5,3,AIRE2200,12/07/2024
3,9,DRONE99,15/06/2013
9,6,CAMARAHD,06/03/2021
8,2,CONSOLA9,18/07/2016
6,7,TABLET10,31/05/2021
3,10,CONSOLA9,27/10/2025
5,8,TABLET10,18/02/2016
5,11,CELULAA01,27/04/2019
5,7,IMPRES33,27/10/2020
3,7,AIRE2200,04/08/2020
7,7,DRONE99,20/06/2015
3,4,TABLET10,30/03/2020
0,6,CELULAA01,13/05/2022
6,8,CAMARAHD,30/03/2013
6,8,CAMARAHD,09/08/2018
4,7,CAMARAHD,11/04/2014
5,8,LAPTOP15,12/06/2023
9,4,CAMARAHD,26/05/2021
5,3,AIRE2200,23/01/2013
4,8,AIRE2200,26/07/2011
3,8,CELULAA01,13/03/2016
6,7,AIRE2200,23/04/2019
2,6,CONSOLA9,16/08/2017
6,4,TV42,22/05/2021
6,11,TV42,29/12/2015
6,4,SMARTWAT,22/01/2010
5,4,CONSOLA9,06/05/2016
3,9,SMARTWAT,11/09/2016
4,8,IMPRES33,02/03/2023
4,5,IMPRES33,03/01/2023
5,7,SMARTWAT,20/10/2024
4,6,CONSOLA9,25/12/2020
4,6,IMPRES33,02/05/2013
5,7,CONSOLA9,07/01/2020
5,8,IMPRES33,30/01/2022
5,5,CELULAA01,11/11/2020
7,8,TABLET10,28/09/2017
3,5,TV42,16/06/2017
2,8,LAPTOP15,19/05/2022
4,4,DRONE99,10/03/2022
4,8,IMPRES33,18/06/2018
6,12,IMPRES33,19/03/2020
3,6,IMPRES33,21/03/2017
5,4,TV42,26/03/2014
5,12,DRONE99,23/08/2025
5,7,AIRE2200,11/05/2015
5,6,CELULAA01,29/10/2022
3,12,CAMARAHD,04/08/2018
10,12,TABLET10,29/03/2015
5,11,TV42,20/03/2019
4,9,CELULAA01,24/12/2010
4,9,LAPTOP15,19/02/2017
7,4,TV42,10/08/2020
3,6,CONSOLA9,26/10/2025
6,3,IMPRES33,21/07/2018
2,5,CELULAA01,29/08/2018
4,3,TV42,19/11/2024
4,3,CELULAA01,16/08/2024
4,12,TV42,31/05/2013
8,6,TV42,09/02/2021
5,6,IMPRES33,31/10/2010
8,7,TV42,31/10/2012
5,5,AIRE2200,07/04/2021
7,5,AIRE2200,28/03/2023
8,8,TV42,12/06/2017
3,6,IMPRES33,02/04/2012
4,8,AIRE2200,16/11/2019
6,2,LAPTOP15,27/03/2012
4,12,SMARTWAT,18/10/2021
4,5,IMPRES33,01/04/2020
6,9,TABLET10,06/05/2010
2,3,AIRE2200,26/03/2013
4,4,IMPRES33,13/03/2019
2,12,LAPTOP15,07/09/2024
8,7,AIRE2200,18/06/2013
7,8,CAMARAHD,05/09/2011
2,4,CELULAA01,13/07/2020
5,16,CONSOLA9,12/12/2015
6,9,IMPRES33,05/08/2017
7,9,CONSOLA9,24/12/2023
7,7,DRONE99,15/07/2025
7,5,TABLET10,01/12/2018
6,6,AIRE2200,29/07/2024
5,11,DRONE99,20/10/2011
5,5,CONSOLA9,15/05/2017
8,11,CONSOLA9,15/02/2025
7,4,TV42,20/12/2021
4,4,DRONE99,11/07/2018
5,5,CAMARAHD,07/02/2017
8,8,SMARTWAT,22/01/2024
5,7,TABLET10,11/12/2020
2,5,CAMARAHD,19/02/2022
3,9,CONSOLA9,22/10/2010
7,7,CONSOLA9,07/11/2023
3,7,TABLET10,15/07/2011
8,8,CONSOLA9,08/04/2015
1,8,CONSOLA9,27/02/2024
5,5,LAPTOP15,08/05/2025
3,7,TV42,12/06/2016
5,6,TABLET10,07/02/2015
5,6,SMARTWAT,11/01/2012
2,7,DRONE99,26/09/2019
7,2,CELULAA01,17/03/2012
2,10,CELULAA01,19/03/2024
4,4,AIRE2200,15/10/2025
5,11,CONSOLA9,03/04/2012
4,4,CONSOLA9,14/12/2019
4,6,SMARTWAT,24/09/2013
5,6,TABLET10,26/07/2025
4,3,SMARTWAT,19/09/2016
4,9,LAPTOP15,26/08/2010
5,8,TV42,12/01/2011
7,6,CAMARAHD,11/04/2017
6,5,TABLET10,05/04/2011
6,8,SMARTWAT,31/07/2016
8,3,TV42,15/01/2018
5,7,TV42,29/05/2018
2,11,AIRE2200,30/08/2019
4,5,TV42,07/04/2013
6,7,LAPTOP15,24/06/2015
3,5,CELULAA01,30/11/2021
3,7,TV42,30/03/2019
5,8,DRONE99,11/09/2022
5,10,LAPTOP15,17/04/2025
6,7,LAPTOP15,15/01/2014
2,6,DRONE99,24/10/2013
6,6,SMARTWAT,05/12/2013
4,3,CELULAA01,09/10/2011
3,2,AIRE2200,02/09/2023
4,11,CELULAA01,31/07/2018
2,4,AIRE2200,25/11/2023
6,5,IMPRES33,28/04/2025
8,8,CELULAA01,27/05/2015
5,7,CELULAA01,28/02/2021
6,8,TV42,30/01/2023
5,8,AIRE2200,18/03/2013
5,8,CELULAA01,18/03/2015
6,7,CELULAA01,05/05/2020
4,5,TABLET10,22/04/2024
4,13,LAPTOP15,12/09/2015
5,7,LAPTOP15,22/04/2020
5,6,DRONE99,23/09/2015
4,9,CELULAA01,15/12/2024
4,7,TABLET10,18/03/2010
7,6,LAPTOP15,08/06/2020
5,8,AIRE2200,14/06/2016
4,9,IMPRES33,13/03/2025
3,9,IMPRES33,05/04/2022
9,6,DRONE99,18/07/2013
6,10,IMPRES33,29/08/2011
6,3,IMPRES33,28/11/2019
4,7,IMPRES33,01/10/2017
7,3,CONSOLA9,07/03/2023
6,11,LAPTOP15,16/09/2016
6,8,CELULAA01,01/05/2024
2,10,TABLET10,08/07/2019
6,8,TV42,26/06/2025
4,4,CAMARAHD,11/08/2015
7,1,LAPTOP15,31/03/2020
8,9,TABLET10,10/10/2016
6,12,AIRE2200,20/06/2014
3,9,TABLET10,18/08/2018
4,6,CAMARAHD,02/11/2020
5,7,CONSOLA9,23/05/2012
3,6,CONSOLA9,28/04/2015
5,8,CAMARAHD,22/07/2018
8,7,IMPRES33,30/10/2022
8,13,IMPRES33,19/01/2018
5,3,TV42,22/11/2022
5,13,CONSOLA9,20/08/2016
8,7,DRONE99,07/09/2025
5,6,AIRE2200,15/08/2016
4,9,TV42,29/06/2010
3,7,AIRE2200,06/10/2024
7,6,CAMARAHD,17/11/2018
4,10,SMARTWAT,27/02/2016
4,4,CELULAA01,08/03/2010
5,8,IMPRES33,11/09/2022
3,17,CELULAA01,20/05/2025
5,6,TV42,06/02/2011
4,4,CELULAA01,08/08/2023
6,4,SMARTWAT,21/02/2021
5,10,CONSOLA9,02/06/2016
5,5,TV42,01/03/2015
2,7,TABLET10,14/08/2023
5,16,SMARTWAT,26/11/2017
3,7,CELULAA01,30/11/2014
3,5,SMARTWAT,12/04/2024
5,10,TABLET10,07/04/2014
4,8,SMARTWAT,05/12/2023
3,10,IMPRES33,16/08/2015
4,7,CONSOLA9,15/03/2025
2,4,AIRE2200,14/10/2024
6,4,CELULAA01,09/04/2025
7,7,TV42,25/01/2013
3,6,CELULAA01,03/02/2024
5,9,TABLET10,06/03/2012
4,5,LAPTOP15,28/01/2024
6,5,TABLET10,30/06/2024
6,6,AIRE2200,19/11/2010
2,6,DRONE99,05/12/2016
2,5,AIRE2200,21/11/2019
5,7,LAPTOP15,01/10/2010
2,3,TV42,31/12/2022
7,4,IMPRES33,08/03/2018
4,4,TABLET10,12/12/2012
5,5,IMPRES33,09/01/2012
7,7,IMPRES33,14/08/2016
5,6,TV42,30/04/2017
7,10,SMARTWAT,27/04/2019
1,7,CAMARAHD,09/12/2013
3,6,LAPTOP15,03/07/2014
4,11,CONSOLA9,18/12/2012
9,5,TABLET10,05/02/2022
4,5,AIRE2200,17/03/2018
5,7,AIRE2200,27/11/2021
6,11,SMARTWAT,03/04/2021
6,4,CONSOLA9,11/02/2016
3,6,LAPTOP15,09/09/2013
3,8,CELULAA01,07/10/2015
5,5,LAPTOP15,22/10/2020
7,3,SMARTWAT,14/08/2016
6,7,SMARTWAT,06/08/2017
6,13,IMPRES33,01/08/2012
4,8,TABLET10,03/07/2020
7,9,TABLET10,09/09/2011
4,4,CAMARAHD,27/02/2013
8,7,CELULAA01,23/01/2015
5,6,CELULAA01,03/03/2025
5,6,IMPRES33,15/02/2025
4,5,SMARTWAT,30/11/2018
5,3,IMPRES33,02/07/2022
2,7,LAPTOP15,16/03/2018
3,6,TABLET10,10/01/2012
7,7,DRONE99,07/11/2018
5,7,IMPRES33,25/04/2010
6,8,CELULAA01,07/12/2015
7,7,DRONE99,13/01/2022
2,7,DRONE99,09/10/2012
7,6,CELULAA01,14/03/2020
5,8,DRONE99,08/04/2018
5,9,CAMARAHD,02/02/2025
7,1,IMPRES33,29/01/2025
6,8,TV42,18/11/2015
5,6,IMPRES33,10/02/2023
0,6,DRONE99,19/07/2018
7,9,CONSOLA9,27/04/2024
5,9,DRONE99,02/05/2018
5,8,DRONE99,06/06/2012
6,6,CONSOLA9,19/02/2025
8,7,SMARTWAT,31/03/2015
4,6,CELULAA01,29/07/2020
6,3,CAMARAHD,25/07/2010
4,6,CONSOLA9,24/11/2023
1,6,DRONE99,05/08/2022
3,5,DRONE99,11/05/2017
4,12,TABLET10,07/09/2023
5,7,DRONE99,19/12/2014
4,8,DRONE99,11/07/2024
5,13,TV42,02/06/2011
2,10,AIRE2200,02/04/2024
2,5,SMARTWAT,31/05/2020
5,9,DRONE99,22/09/2025
5,4,IMPRES33,11/10/2016
5,4,CAMARAHD,24/07/2024
6,4,CONSOLA9,27/02/2019
4,13,AIRE2200,13/08/2012
9,5,DRONE99,19/02/2013
7,6,CAMARAHD,07/01/2011
2,7,LAPTOP15,01/11/2010
3,7,IMPRES33,29/10/2016
4,5,IMPRES33,18/01/2021
6,5,TV42,09/08/2012
7,11,IMPRES33,07/03/2012
4,5,AIRE2200,08/04/2015
5,8,IMPRES33,21/01/2022
5,3,AIRE2200,16/01/2013
3,9,CONSOLA9,19/09/2018
3,5,CAMARAHD,05/03/2020
7,6,IMPRES33,28/04/2018
3,7,SMARTWAT,14/01/2025
8,9,TABLET10,15/08/2025
8,1,CAMARAHD,12/02/2022
5,3,DRONE99,27/05/2019
5,9,AIRE2200,05/03/2023
3,6,TABLET10,19/06/2013
3,11,SMARTWAT,22/04/2019
6,13,CELULAA01,09/09/2024
5,4,TABLET10,22/03/2012
4,11,SMARTWAT,22/12/2020
6,5,AIRE2200,23/10/2023
3,10,TV42,26/02/2019
12,8,CAMARAHD,10/04/2016
1,4,IMPRES33,26/09/2010
6,13,CONSOLA9,25/06/2025
1,5,CELULAA01,24/04/2018
6,10,TABLET10,15/11/2014
1,13,CONSOLA9,12/12/2019
4,6,LAPTOP15,22/12/2019
3,4,CELULAA01,19/04/2015
3,9,AIRE2200,19/02/2018
5,3,CAMARAHD,24/03/2012
5,5,LAPTOP15,19/05/2025
5,2,LAPTOP15,29/03/2018
9,5,CAMARAHD,19/03/2022
3,11,TV42,18/06/2024
3,6,LAPTOP15,17/01/2018
6,2,TABLET10,12/05/2011
6,6,TV42,06/12/2018
3,7,AIRE2200,10/03/2016
7,5,CELULAA01,04/04/2014
4,8,CONSOLA9,27/09/2012
1,13,TV42,14/03/2020
7,7,TABLET10,21/01/2012
7,7,TV42,12/11/2024
2,5,LAPTOP15,04/10/2014
5,5,CONSOLA9,23/05/2024
6,8,SMARTWAT,05/05/2024
9,8,TV42,24/05/2023
3,3,CAMARAHD,24/06/2010
4,8,TABLET10,19/02/2011
10,6,CAMARAHD,25/06/2017
4,8,AIRE2200,19/06/2015
4,6,CAMARAHD,28/10/2012
4,6,AIRE2200,31/08/2022
7,6,LAPTOP15,09/08/2014
8,13,CONSOLA9,17/07/2011
6,3,TABLET10,07/06/2022
6,8,SMARTWAT,25/08/2014
3,3,TABLET10,25/02/2023
5,10,AIRE2200,05/11/2014
6,9,LAPTOP15,24/03/2015
2,8,CELULAA01,15/05/2017
8,5,AIRE2200,23/04/2013
5,7,TABLET10,15/05/2023
4,9,CELULAA01,24/01/2010
4,3,LAPTOP15,21/03/2016
2,13,IMPRES33,31/03/2013
5,9,LAPTOP15,30/11/2012
5,5,IMPRES33,12/02/2022
4,7,TABLET10,16/08/2015
2,5,CONSOLA9,30/11/2013
4,8,IMPRES33,19/06/2012
4,6,IMPRES33,29/10/2024
1,6,CONSOLA9,31/07/2010
8,7,AIRE2200,15/12/2012
4,6,SMARTWAT,02/05/2010
10,6,TABLET10,13/01/2018
6,9,CONSOLA9,04/05/2015
3,2,TABLET10,17/03/2023
6,3,TV42,06/04/2017
4,7,CONSOLA9,10/05/2010
3,3,IMPRES33,28/11/2013
2,5,CONSOLA9,14/12/2015
3,6,DRONE99,06/03/2011
5,8,IMPRES33,04/11/2012
3,6,TV42,11/06/2019
4,5,LAPTOP15,19/10/2021
3,9,DRONE99,20/07/2012
6,8,DRONE99,05/06/2011
5,12,TV42,06/09/2020
5,12,CONSOLA9,21/01/2020
4,8,AIRE2200,13/02/2018
4,5,CAMARAHD,06/07/2021
6,5,AIRE2200,26/04/2023
4,5,CAMARAHD,12/06/2012
6,6,SMARTWAT,20/02/2020
4,6,CONSOLA9,20/04/2021
5,9,CAMARAHD,20/12/2014
5,9,CELULAA01,18/10/2023
4,3,CAMARAHD,22/12/2010
5,6,IMPRES33,11/10/2024
3,4,CAMARAHD,11/09/2021
4,4,CAMARAHD,06/10/2016
6,7,AIRE2200,10/04/2020
6,12,TV42,06/06/2024
1,9,AIRE2200,13/09/2010
3,10,TV42,14/05/2011
4,7,DRONE99,28/09/2020
6,6,TV42,04/01/2019
4,10,DRONE99,25/07/2019
3,10,TABLET10,22/05/2025
14,7,CELULAA01,03/06/2012
5,4,TABLET10,30/12/2020
4,7,LAPTOP15,23/12/2025
5,7,CELULAA01,13/12/2019
5,6,TABLET10,26/08/2011
7,11,IMPRES33,24/10/2011
7,6,CONSOLA9,23/03/2017
7,7,LAPTOP15,24/08/2023
2,7,CELULAA01,30/04/2013
5,16,TABLET10,23/06/2011
3,7,CELULAA01,30/10/2012
7,5,CELULAA01,02/03/2016
2,6,IMPRES33,02/01/2024
6,5,AIRE2200,14/03/2024
4,6,IMPRES33,17/02/2023
8,6,CAMARAHD,20/04/2022
5,8,CONSOLA9,21/12/2025
1,5,DRONE99,17/04/2017
2,10,TV42,18/07/2018
3,6,DRONE99,26/05/2023
6,5,TV42,25/11/2021
8,9,IMPRES33,12/08/2016
4,6,CELULAA01,05/03/2020
3,9,IMPRES33,04/05/2021
6,5,DRONE99,31/07/2023
6,10,SMARTWAT,26/08/2019
8,6,TV42,23/03/2012
6,9,SMARTWAT,27/09/2025
6,9,LAPTOP15,26/07/2012
5,12,LAPTOP15,07/09/2024
4,9,IMPRES33,07/08/2024
5,11,IMPRES33,14/05/2022
5,7,TV42,28/10/2014
6,7,SMARTWAT,25/08/2019
11,9,AIRE2200,17/02/2020
8,8,CAMARAHD,15/02/2015
7,7,TV42,13/04/2019
7,9,CAMARAHD,08/08/2017
4,9,TV42,04/03/2020
8,6,TABLET10,11/12/2018
6,7,LAPTOP15,01/05/2019
2,4,LAPTOP15,18/02/2012
4,9,TV42,04/01/2017
0,6,SMARTWAT,29/07/2019
6,6,LAPTOP15,04/01/2017
0,9,SMARTWAT,01/12/2024
7,9,LAPTOP15,20/09/2015
9,9,SMARTWAT,25/05/2018
7,11,TABLET10,04/06/2013
2,5,IMPRES33,28/05/2025
4,2,TV42,21/08/2020
8,6,CELULAA01,04/07/2011
5,4,AIRE2200,18/01/2012
5,9,SMARTWAT,01/12/2011
6,8,SMARTWAT,03/02/2012
2,5,CAMARAHD,08/09/2019
4,9,AIRE2200,02/03/2012
7,8,AIRE2200,11/05/2018
3,2,TABLET10,01/12/2012
6,5,IMPRES33,24/06/2022
2,5,DRONE99,07/05/2011
